Taxable,TaxFree,TaxDeferred
3160185.219034003125,2302859.017628780625,1131976.3373386900641025641026
3072039.2624507666810528094269,2545249.25426377528125,1048078.6340087583814102564103
2969639.7993369709509003717022,2799759.0027305196703125,959986.0455123301145833333334
2896188.2451743206597076032665,3066994.238620601278828125,867488.8275910804344150641027
2810186.7715383579004056849283,3347591.23630518696776953125,770366.74877376827023838141037
2734614.5222805307198567740526,3642218.0838740019411580078125,668388.56601559049785286458347
2646620.3970464223772576498276,3951576.2738212576632159082031,561311.47411950383684807191521
2545237.5714966832223848908744,4276402.3732658761713767036133,448880.52762861284279303961354
2429437.0508533746988190683159,4617469.7776827256049455387940,330828.03381317729903525569679
2298124.0082091750416875519456,4975590.5523204175101928157337,206872.91530696997808958258420
2150133.9176252906660165609652,5351617.3656899940107024565204,76720.040875452291096625815974
1983263.9582882744219861514200,5695556.0257513783570572948904,0.000000000000000000000000
1798078.5278632066161052523373,5980333.8270389472749101596349,0.00000000000000000000000000
1592259.8807833061588511000344,6279350.5183908946386556676166,0.0000000000000000000000000000
1364321.3984104882472118635194,6593318.0443104393705884509974,0.0000000000000000000000000000
1112683.9328625501112073935182,6922983.9465259613391178735473,0.0000000000000000000000000000
835670.4526184765664680974896,7269133.1438522594060737672247,0.0000000000000000000000000000
531500.39128671130247985003141,7632589.8010448723763774555859,0.0000000000000000000000000000
198283.68352985021159972410700,8014219.291097115995196328365,0.0000000000000000000000000000
0.0000000000000000000000000,8275286.258950441521227420558,0.0000000000000000000000000000
0.000000000000000000000000000,8357058.203037333458507559429,0.0000000000000000000000000000
0.0000000000000000000000000000,8429639.049574144787100455958,0.0000000000000000000000000000
0.0000000000000000000000000000,8492038.055893194468349698056,0.0000000000000000000000000000
0.0000000000000000000000000000,8543193.694681810331337171031,0.0000000000000000000000000000
0.0000000000000000000000000000,8581969.264849615233056817177,0.0000000000000000000000000000
0.0000000000000000000000000000,8607148.248943158955268557134,0.0000000000000000000000000000
